,Año,PIB C.A. de Euskadi,PIB Araba/Álava,PIB Bizkaia,PIB Gipuzkoa,IPC Tasa C.A. de Euskadi,Tasa paro C.A. de Euskadi,Tasa paro Araba / Álava,Tasa paro Bizkaia,Tasa Paro Gipuzkoa,Personas empleadas C.A. de Euskadi,Personal empleadas Araba / Álava,Personas empleadas Bizkaia,Personas empleadasGipuzkoa
0,2019,80235812.45513229,13233067.404049315,39659137.513103925,27343607.53797905,2.4,9.8,10.8,11.1,7.4,1032400.0120659475,168549.92734717825,517680.377887921,346169.7068308482
1,2020,72452788.26351288,11871237.171259962,35970047.82045539,24611503.271797538,0.7,10.6,11.0,11.9,8.2,1013948.6377024222,165020.09640746884,507995.9927122324,340932.5485827211
2,2021,78709402.0,12819599.0,39256450.0,26633353.0,6.5,10.0,10.6,11.2,7.9,1024459.0,167033.0,513788.0,343638.0
3,2022,86714411.0,13826025.0,44068322.0,28820064.0,5.8,8.6,9.5,9.3,7.0,1043827.0,171042.0,522566.0,350219.0
